#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
#GRAPHICAL
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,i3-gaps,"is the main graphical user interface and window manager."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dunst,"is a suckless notification system."
,libnotify,"allows desktop notifications."
,xwallpaper,"sets the wallpaper."
,unclutter,"hides an inactive mouse."
A,polybar,"polybar"
,rofi,"dmenu replacemeent"
#FONT
,gentium-plus-font,"Serif font"
,inter-font,"Sans font"
A,ttf-inconsolata,"Monospaced font"
A,noto-fonts-emoji-blob,"emoji font"
,ttf-freefont,"fallback font"
,ttf-arphic-uming,"fallback font"
,ttf-baekmuk,"fallback font"
,ttf-hack,"monospaced font"
#TOOLS
,man,"manual"
,unzip,"unzips zips."
,bc,"is used for a dropdown calculator."
,dosfstools,"allows your computer to access dos-like filesystems."
,ntfs-3g,"allows accessing NTFS partitions."
,exfat-utils,"allows management of FAT drives."
A,go-mtpfs-git,"enables the mounting of cell phones."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,pulseaudio,"is the audio system."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,maim,"can take quick screenshots at your request."
,xdotool,"provides window action utilities on the command line. (used by keepmenu)"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,i3lock,"allows you to lock your computer and quickly unlock with your password."
,networkmanager,"does exactly what it sounds like."
,imagemagick,"is a terminal image-manipulator"
,alsa-utils,"contain amixer needed to use the volume keys"
,light,"tool to manage screen brigthness"
,numlockx,"allow to anable numlock by default"
,xf86-input-synaptics,"synaptics drivers for the touchpad"
,clang,"clang"
,ccls,"ccls"
A,compiledb,"compiledb"
,cronie,"Daemon that runs specified programs at scheduled times and related tools"
,ncdu,"make a tree of disk usage"
,trash-cli,"avoid deleting files by accident"
#MAIN SOFTWARES
,firefox,"web browser"
,alacritty,"alacritty terminal emulator"
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,thunderbird,"GUI email client"
,keepassxc,"password manager"
A,python-keepmenu-git,"rofi menu for keepass"
,zsh,"another shell"
A,rofi-dmenu,"Symlink for using Rofi as a drop-in replacement to dmenu"
G,https://github.com/antv0/sxiv,"Simple image viewer."
#plugins
,zsh-completions,"provide more autocompletion for zsh"
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
,xclip,"Allow to share the clipboard with X"
,python-neovim,"for neovim plugins"
#OTHERS
,nodejs,"nodejs"
,yarn,"yarn"
